congress,chamber,chamber_id,icpsr_id,state_icpsr,district_code,abbrev,party_code,party,born,died,speaker,firstname,stanford_core_id,repeat_last_name,new_core_id
115,House,0,21318,43,6,FL,200,republican,1978,,DeSANTIS,Ron,12214,,
115,House,0,21504,71,11,CA,100,democrat,1952,,DESAULNIER,Mark James,12286,,
115,House,0,21179,54,4,TN,200,republican,1964,,DESJARLAIS,Scott,11921,,
115,House,0,20959,43,22,FL,100,democrat,1966,,DEUTCH,Theodore E. (Ted),11922,,
115,House,0,20316,43,25,FL,200,republican,1961,,DIAZ-BALART,Mario,11923,,
115,House,0,21529,23,12,MI,100,democrat,1953,,DINGELL,Debbie,12309,,
115,House,0,29571,49,35,TX,100,democrat,1946,,DOGGETT,Lloyd Alton,11924,,
115,Senate,1,20717,22,0,IN,100,democrat,1955,,DONNELLY,Joe,11925,,
115,House,0,21560,13,11,NY,200,republican,1956,,DONOVAN,Daniel M.,12344,,
115,House,0,29561,14,14,PA,100,democrat,1953,,DOYLE,Michael F.,11926,,
115,Senate,1,21325,21,0,IL,100,democrat,1968,,DUCKWORTH,Tammy,12219,,
115,House,0,21189,25,7,WI,200,republican,1971,,DUFFY,Sean,11927,,
115,House,0,21174,48,3,SC,200,republican,1966,,DUNCAN,Jeff,11928,x,
115,House,0,15455,54,2,TN,200,republican,1947,,DUNCAN,John J.,11929,x,
115,Senate,1,15021,21,0,IL,100,democrat,1944,,DURBIN,Richard Joseph,11832,,
115,House,0,20727,33,5,MN,100,democrat,1963,,ELLISON,Keith,11931,,
115,House,0,21531,33,6,MN,200,republican,1961,,EMMER,Thomas Earl II,12311,,
115,House,0,15603,13,16,NY,100,democrat,1947,,ENGEL,Eliot Lance,11933,,
115,Senate,1,49706,68,0,WY,200,republican,1944,,ENZI,Michael B.,11833,,
115,Senate,1,41502,31,0,IA,200,republican,1970,,ERNST,Joni,12339,,
115,House,0,29312,71,18,CA,100,democrat,1942,,ESHOO,Anna Georges,11934,,
115,House,0,21316,1,5,CT,100,democrat,1959,,ESTY,Elizabeth,12212,,
115,House,0,21184,49,27,TX,200,republican,1961,,FARENTHOLD,Blake,11935,,
115,Senate,1,49300,71,0,CA,100,democrat,1933,,FEINSTEIN,Dianne,11816,,
115,Senate,1,41302,35,0,NE,200,republican,1951,,FISCHER,Debra (Deb),12240,,
115,House,0,21718,14,8,PA,200,republican,1973,,FITZPATRICK,Brian K.,11938,,
115,Senate,1,20100,61,0,AZ,200,republican,1962,,FLAKE,Jeff,11939,,
115,House,0,21178,54,3,TN,200,republican,1962,,FLEISCHMANN,Chuck,11940,,
115,House,0,21182,49,17,TX,200,republican,1954,,FLORES,Bill,11942,,
115,House,0,20518,35,1,NE,200,republican,1960,,FORTENBERRY,Jeff,11944,,
115,House,0,20749,21,11,IL,100,democrat,1955,,FOSTER,Bill,12193,,
115,House,0,20521,47,5,NC,200,republican,1943,,FOXX,Virginia Ann,11945,,
115,House,0,21321,43,21,FL,100,democrat,1948,,FRANKEL,Lois,12216,,
115,Senate,1,40904,33,0,MN,100,democrat,1951,,FRANKEN,Al,11846,,
115,House,0,20304,61,8,AZ,200,republican,1957,,FRANKS,Trent,11946,,
115,House,0,29541,12,11,NJ,200,republican,1946,,FRELINGHUYSEN,Rodney P.,11947,,
115,House,0,20941,24,11,OH,100,democrat,1952,,FUDGE,Marcia L.,11948,,
115,House,0,21324,82,2,HI,100,democrat,1981,,GABBARD,Tulsi,12218,,
115,House,0,21502,61,7,AZ,100,democrat,1979,,GALLEGO,Ruben,12285,,
115,House,0,20958,71,3,CA,100,democrat,1945,,GARAMENDI,John,11949,,
115,Senate,1,21112,62,0,CO,200,republican,1974,,GARDNER,Cory,11950,,
115,House,0,21721,40,5,VA,200,republican,1972,,GARRETT,Thomas Alexander Jr.,11951,,
115,House,0,21165,24,7,OH,200,republican,1954,,GIBBS,Bob,11952,,
115,Senate,1,20735,13,0,NY,100,democrat,1966,,GILLIBRAND,Kirsten,11845,,
115,House,0,20527,49,1,TX,200,republican,1953,,GOHMERT,Louie,11954,,
115,House,0,39308,40,6,VA,200,republican,1952,,GOODLATTE,Robert William,11955,,
115,House,0,21103,61,4,AZ,200,republican,1958,,GOSAR,Paul,11956,,
115,House,0,21175,48,4,SC,200,republican,1964,,GOWDY,Trey,11957,,
115,House,0,29762,49,12,TX,200,republican,1943,,GRANGER,Kay,11958,,
115,Senate,1,14226,31,0,IA,200,republican,1933,,GRASSLEY,Charles Ernest,11959,,
115,House,0,20124,34,6,MO,200,republican,1963,,GRAVES,Samuel,11960,x,
115,House,0,20962,44,14,GA,200,republican,1970,,GRAVES,Tom,11961,x,
115,House,0,21523,45,6,LA,200,republican,1972,,GRAVES,Garret,12303,x,
115,House,0,20529,49,9,TX,100,democrat,1947,,GREEN,Al,11962,x,
115,House,0,39304,49,29,TX,100,democrat,1947,,GREEN,Raymond Eugene (Gene),11963,x,
115,House,0,21191,40,9,VA,200,republican,1958,,GRIFFITH,H. Morgan,11964,,
115,House,0,20305,61,3,AZ,100,democrat,1948,,GRIJALVA,Ra̼l M.,11965,,
115,House,0,21559,25,6,WI,200,republican,1955,,GROTHMAN,Glenn,12333,,
115,House,0,20916,51,2,KY,200,republican,1964,,GUTHRIE,Brett,11966,,
115,House,0,29348,21,4,IL,100,democrat,1953,,GUTIERREZ,Luis V.,11967,,
115,House,0,20925,46,3,MS,200,republican,1956,,HARPER,Gregg,11969,,
115,House,0,21149,34,4,MO,200,republican,1960,,HARTZLER,Vicky,11971,,
115,House,0,29337,43,20,FL,100,democrat,1936,,HASTINGS,Alcee Lamar,11972,,
115,Senate,1,14503,67,0,UT,200,republican,1934,,HATCH,Orrin Grant,11817,,
115,Senate,1,20930,66,0,NM,100,democrat,1971,,HEINRICH,Martin,11974,,
115,Senate,1,41303,36,0,ND,100,democrat,1955,,HEITKAMP,Mary Kathryn (Heidi),12238,,
115,Senate,1,20730,65,0,NV,200,republican,1960,,HELLER,Dean,12184,,
115,House,0,20352,49,5,TX,200,republican,1957,,HENSARLING,Jeb,11975,,
115,House,0,21187,73,3,WA,200,republican,1978,,HERRERA BEUTLER,Jaime,11976,,
115,House,0,21514,44,10,GA,200,republican,1960,,HICE,Jody Brownlow,12296,,
115,House,0,21503,42,2,AR,200,republican,1956,,HILL,French,12282,,
115,House,0,20907,1,4,CT,100,democrat,1966,,HIMES,James A.,11978,,
115,Senate,1,20713,82,0,HI,100,democrat,1947,,HIRONO,Mazie,11980,,
115,Senate,1,41107,36,0,ND,200,republican,1957,,HOEVEN,John,11981,,
115,House,0,21349,47,2,NC,200,republican,1968,,HOLDING,George E.B.,12237,,
115,House,0,14873,52,5,MD,100,democrat,1939,,HOYER,Steny Hamilton,11983,,
115,House,0,21346,47,8,NC,200,republican,1971,,HUDSON,Richard,12234,,
115,House,0,21303,71,2,CA,100,democrat,1964,,HUFFMAN,Jared,12200,,
115,House,0,21142,23,2,MI,200,republican,1969,,HUIZENGA,Bill,11985,,
115,House,0,21129,21,14,IL,200,republican,1966,,HULTGREN,Randy,11986,,
115,House,0,20963,71,50,CA,200,republican,1976,,HUNTER,Duncan Duane,11987,,
115,House,0,21550,49,23,TX,200,republican,1977,,HURD,William Ballard,12326,,
115,Senate,1,15424,53,0,OK,200,republican,1934,,INHOFE,James Mountain,11835,,
115,Senate,1,29909,44,0,GA,200,republican,1944,,ISAKSON,Johnny,11989,,
115,House,0,20107,71,49,CA,200,republican,1953,,ISSA,Darrell,11991,,
115,House,0,29573,49,18,TX,100,democrat,1950,,JACKSON LEE,Sheila,11992,,
115,House,0,21343,13,8,NY,100,democrat,1970,,JEFFRIES,Hakeem,12244,,
115,House,0,20915,32,2,KS,200,republican,1963,,JENKINS,Lynn,11993,x,
115,House,0,21558,56,3,WV,200,republican,1960,,JENKINS,Evan H.,12335,x,
115,House,0,21162,24,6,OH,200,republican,1954,,JOHNSON,Bill,11994,x,
115,House,0,39305,49,30,TX,100,democrat,1935,,JOHNSON,Eddie Bernice,11995,x,
115,House,0,20712,44,4,GA,100,democrat,1954,,JOHNSON,Hank,11996,x,
115,Senate,1,41111,25,0,WI,200,republican,1955,,JOHNSON,Ron,11997,x,
